;Distanza;Distanza /min;Spesa Energetica;Dist > 15 km/h;Dist MP>20 W/Kg;%Dist > 15km/h;%Dist Acc>5 m/s2;%Dist Dec<-5 m/s2;%Dist MP>20 W/Kg;Potenza Met;EDRel;%Dist Equivalente;%Ind. Anaerobico;Dist 0-5 km/h;Dist 5-10 km/h;Dist 10-15 km/h;Dist 15-20 km/h;Dist 20-25 km/h;Dist > 25 km/h;T 0-5 km/h;T 5-10 km/h;T 10-15 km/h;T 15-20 km/h;T 20-25 km/h;T>15 km/h;T>25 km/h;D dec < -5 m/s2;D dec < -4 m/s2;D dec -4 & -3 m/s2;D dec -3 & -2 m/s2;D dec -2 & -1 m/s2;D acc 1-2 m/s2;D acc 2-3 m/s2;D acc 3-4 m/s2;D acc > 4 m/s2;D acc > 5 m/s2;T dec < -5 m/s2;T dec < -4 m/s2;T dec -4 & -3 m/s2;T dec -3 & -2 m/s2;T dec -2 & -1 m/s2;T acc 1-2 m/s2;T acc 2-3 m/s2;T acc 3-4 m/s2;T acc > 4 m/s2;T acc > 5 m/s2;RPE;T;Num Acc > 3 m/s2;Num Dec <-3 m/s2;SMax (kmh);Minutes
Team Average;3285;75;19;307;614;9,2;0,3;0,2;18,6;7,1;91;21,6;33,8;946;1281;750;265;41;1;00:27:55;00:10:57;00:03:44;00:00:56;00:00:06;00:01:03;00:00:00;7;25;42;114;317;339;139;56;28;9;00:00:03;00:00:11;00:00:19;00:00:54;00:03:01;00:02:53;00:00:57;00:00:22;00:00:11;00:00:03;4;00:43:40;10;8;23,4;43,68
A;3660;84;21;451;750;12,3;0,4;0,2;20,5;8;103;22,9;37,5;1030;1357;822;379;72;0;00:26:22;00:11:43;00:04:02;00:01:20;00:00:12;00:01:32;00:00:00;7;23;43;147;374;368;169;77;38;14;00:00:03;00:00:10;00:00:19;00:01:05;00:03:24;00:03:04;00:01:08;00:00:29;00:00:15;00:00:05;3,5;00:43:40;15;11;24,7;43,68
B;2606;60;15;142;383;5,4;0,3;0,2;14,7;5,6;72;20,6;29,6;1106;884;474;136;6;0;00:32:59;00:07:50;00:02:21;00:00:29;00:00:01;00:00:30;00:00:00;6;21;27;73;259;247;101;46;27;8;00:00:02;00:00:09;00:00:13;00:00:38;00:02:49;00:02:31;00:00:43;00:00:17;00:00:11;00:00:03;3;00:43:40;2;7;20,8;43,68
C;3047;70;17;304;558;10;0,2;0,2;18,3;6,5;84;19,9;32,7;843;1193;707;264;41;0;00:28:45;00:10:19;00:03:32;00:00:56;00:00:06;00:01:03;00:00:00;7;25;39;89;268;301;110;47;22;5;00:00:03;00:00:11;00:00:17;00:00:43;00:02:26;00:02:29;00:00:44;00:00:18;00:00:09;00:00:02;4;00:43:40;4;11;23;43,68
D;3513;80;20;470;723;13,4;0,2;0,4;20,6;7,6;98;21,9;35,8;1110;1216;717;401;68;1;00:27:51;00:10:39;00:03:33;00:01:25;00:00:11;00:01:36;00:00:00;14;33;44;116;316;375;136;54;28;6;00:00:05;00:00:13;00:00:18;00:00:53;00:02:58;00:03:02;00:00:52;00:00:21;00:00:10;00:00:02;4;00:43:40;12;10;25,2;43,68
E;3152;72;18;247;588;7,8;0,2;0,2;18,7;6,8;88;21,6;33,8;768;1328;810;212;35;0;00:27:20;00:11:25;00:04:04;00:00:45;00:00:05;00:00:50;00:00:00;7;24;45;110;302;334;146;56;20;5;00:00:02;00:00:09;00:00:20;00:00:53;00:02:57;00:02:55;00:01:00;00:00:23;00:00:09;00:00:02;4,5;00:43:40;4;6;24;43,68
F;3349;77;19;309;620;9,2;0,2;0,2;18,5;7,2;93;21,9;33,4;1087;1238;715;256;52;0;00:28:29;00:10:34;00:03:33;00:00:55;00:00:08;00:01:04;00:00:00;7;24;49;132;307;363;146;57;27;7;00:00:03;00:00:11;00:00:21;00:01:04;00:03:03;00:03:09;00:01:02;00:00:23;00:00:12;00:00:03;3,5;00:43:40;13;11;23,3;43,68
G;3795;87;22;481;827;12,7;0,4;0,4;21,8;8,4;109;25,2;38,2;1053;1389;871;336;145;0;00:25:55;00:11:50;00:04:18;00:01:11;00:00:24;00:01:36;00:00:00;14;46;58;151;356;398;175;72;39;14;00:00:05;00:00:17;00:00:25;00:01:10;00:03:20;00:03:17;00:01:08;00:00:26;00:00:16;00:00:05;4,5;00:43:40;11;16;24,3;43,68
H;3131;72;18;371;669;11,8;0,3;0,3;21,4;6,9;89;24,7;38;788;1241;731;357;13;0;00:28:07;00:10:35;00:03:38;00:01:16;00:00:02;00:01:19;00:00:00;10;32;53;119;296;323;155;59;31;10;00:00:05;00:00:14;00:00:23;00:00:55;00:02:44;00:02:40;00:01:01;00:00:24;00:00:12;00:00:04;4,5;00:43:40;7;11;22;43,68
I;3327;76;19;359;686;10,8;0,4;0,2;20,6;7,3;94;23,5;36,7;1027;1169;771;313;46;0;00:28:52;00:09:45;00:03:48;00:01:06;00:00:07;00:01:14;00:00:00;8;33;47;112;334;363;156;53;37;13;00:00:03;00:00:14;00:00:22;00:00:56;00:03:17;00:03:07;00:01:04;00:00:22;00:00:16;00:00:05;4,5;00:43:40;10;13;23,3;43,68
