;Distanza;Distanza /min;Spesa Energetica;Dist > 15 km/h;Dist MP>20 W/Kg;%Dist > 15km/h;%Dist Acc>5 m/s2;%Dist Dec<-5 m/s2;%Dist MP>20 W/Kg;Potenza Met;EDRel;%Dist Equivalente;%Ind. Anaerobico;Dist 0-5 km/h;Dist 5-10 km/h;Dist 10-15 km/h;Dist 15-20 km/h;Dist 20-25 km/h;Dist > 25 km/h;T 0-5 km/h;T 5-10 km/h;T 10-15 km/h;T 15-20 km/h;T 20-25 km/h;T>15 km/h;T>25 km/h;D dec < -5 m/s2;D dec < -4 m/s2;D dec -4 & -3 m/s2;D dec -3 & -2 m/s2;D dec -2 & -1 m/s2;D acc 1-2 m/s2;D acc 2-3 m/s2;D acc 3-4 m/s2;D acc > 4 m/s2;D acc > 5 m/s2;T dec < -5 m/s2;T dec < -4 m/s2;T dec -4 & -3 m/s2;T dec -3 & -2 m/s2;T dec -2 & -1 m/s2;T acc 1-2 m/s2;T acc 2-3 m/s2;T acc 3-4 m/s2;T acc > 4 m/s2;T acc > 5 m/s2;RPE;T;Num Acc > 3 m/s2;Num Dec <-3 m/s2;SMax (kmh);Minutes
Team Average;11448;116;62;2261;2947;19,7;0,1;0,2;25,7;10,5;136;16,4;38,7;2125;3581;3481;1556;572;133;00:42:59;00:30:44;00:17:11;00:05:30;00:01:33;00:07:21;00:00:17;25;65;102;288;947;1153;336;99;42;12;00:00:09;00:00:24;00:00:38;00:01:57;00:07:07;00:07:40;00:02:04;00:00:38;00:00:17;00:00:04;7,4;01:38:16;25;21;29,3;98,28
A;2407;122;13;585;716;24,3;0,2;0,4;29,7;11,3;146;20,2;44;392;780;649;364;183;39;00:07:38;00:07:02;00:03:12;00:01:15;00:00:30;00:01:51;00:00:05;9;21;27;65;219;269;75;27;12;5;00:00:03;00:00:06;00:00:10;00:00:26;00:01:36;00:01:47;00:00:26;00:00:09;00:00:04;00:00:01;5;00:19:45;5;8;28,2;19,76
B;4363;112;24;941;1133;21,6;0,1;0,3;26;10,3;133;18,9;40,5;867;1345;1210;653;244;44;00:18:31;00:11:27;00:05:58;00:02:16;00:00:40;00:03:02;00:00:05;12;32;47;124;406;477;158;44;19;5;00:00:04;00:00:11;00:00:17;00:00:45;00:02:50;00:02:58;00:00:54;00:00:15;00:00:07;00:00:02;5,5;00:38:59;11;8;30;38,99
C;7889;112;43;1434;1843;18,2;0,1;0,1;23,4;10,1;131;16,6;37;1503;2762;2190;1007;360;66;00:30:53;00:23:45;00:10:51;00:03:31;00:00:59;00:04:40;00:00:09;12;37;74;206;680;778;254;85;33;8;00:00:04;00:00:14;00:00:29;00:01:23;00:05:00;00:05:15;00:01:32;00:00:31;00:00:14;00:00:03;7;01:10:10;21;12;29,5;70,17
D;4601;115;25;1049;1328;22,8;0,1;0,2;28,9;10,4;134;16,7;42,7;929;1187;1436;753;269;26;00:19:18;00:10:20;00:06:58;00:02:38;00:00:45;00:03:27;00:00:03;10;20;37;118;439;468;136;45;21;7;00:00:04;00:00:08;00:00:14;00:00:48;00:03:07;00:03:06;00:00:49;00:00:17;00:00:08;00:00:02;5;00:40:05;5;9;28,6;40,09
E;6117;106;33;1363;1545;22,3;0,2;0,3;25,3;9,6;124;16,9;38,6;1433;1746;1576;762;501;99;00:30:22;00:15:09;00:07:48;00:02:39;00:01:21;00:04:14;00:00:13;16;42;54;133;492;567;174;70;33;10;00:00:05;00:00:14;00:00:18;00:00:53;00:03:52;00:03:56;00:01:01;00:00:25;00:00:12;00:00:04;8;00:57:34;11;9;29;57,58
F;6822;118;37;1571;1910;23;0,1;0,2;28;10,7;139;17,1;41,4;1340;2029;1883;1082;450;39;00:25:30;00:17:45;00:09:14;00:03:48;00:01:12;00:05:06;00:00:05;13;37;62;185;645;751;223;66;21;4;00:00:05;00:00:13;00:00:24;00:01:15;00:04:44;00:05:00;00:01:22;00:00:25;00:00:08;00:00:01;7,5;00:57:37;18;10;30,1;57,62
G;3178;116;17;867;982;27,3;0,1;0,3;30,9;10,4;135;16,8;43,6;650;856;806;515;298;54;00:13:36;00:07:15;00:03:54;00:01:48;00:00:48;00:02:44;00:00:07;10;23;32;77;235;324;94;22;9;3;00:00:03;00:00:07;00:00:09;00:00:26;00:01:42;00:01:54;00:00:33;00:00:08;00:00:03;00:00:01;6;00:27:30;9;6;29,8;27,51
H;11316;117;60;2117;2569;18,7;0,1;0,2;22,7;10,4;135;14,9;35,1;1929;4118;3152;1430;523;164;00:37:59;00:35:55;00:15:49;00:05:01;00:01:25;00:06:49;00:00:22;26;65;81;250;812;971;287;88;45;12;00:00:09;00:00:23;00:00:29;00:01:37;00:06:08;00:06:12;00:01:42;00:00:32;00:00:17;00:00:04;9;01:36:33;19;21;29,7;96,56
I;12059;123;63;2229;3050;18,5;0,1;0,2;25,3;10,7;139;13,2;36,9;1959;3528;4344;1778;401;49;00:39:00;00:30:23;00:21:18;00:06:21;00:01:05;00:07:34;00:00:06;20;42;70;240;926;1131;271;70;28;8;00:00:07;00:00:15;00:00:25;00:01:45;00:07:03;00:07:41;00:01:43;00:00:28;00:00:11;00:00:03;8,5;01:38:16;21;12;28,8;98,28
L;11784;121;62;2194;3130;18,6;0;0,1;26,6;10,6;137;13,9;38,6;2017;3356;4217;1629;518;47;00:42:00;00:27:38;00:20:44;00:05:50;00:01:25;00:07:22;00:00:06;14;45;77;263;1021;1253;276;62;23;4;00:00:05;00:00:18;00:00:30;00:01:52;00:07:21;00:08:16;00:01:53;00:00:28;00:00:09;00:00:02;9;01:37:45;21;14;27,9;97,76
M;8862;117;49;1334;2073;15;0,1;0,3;23,4;10,7;138;18,2;36,8;1633;3039;2857;942;275;117;00:31:42;00:25:38;00:14:13;00:03:22;00:00:44;00:04:23;00:00:15;26;72;101;246;666;945;302;88;31;9;00:00:09;00:00:26;00:00:39;00:01:43;00:05:17;00:06:24;00:01:53;00:00:34;00:00:12;00:00:03;7,5;01:15:56;21;23;29,4;75,94
N;8819;116;48;1656;2242;18,8;0,1;0,3;25,4;10,6;136;17,3;38,5;1681;2800;2682;1043;414;199;00:32:52;00:24:24;00:13:18;00:03:42;00:01:06;00:05:15;00:00:26;23;65;93;239;677;873;273;79;30;6;00:00:09;00:00:25;00:00:34;00:01:33;00:04:51;00:05:34;00:01:35;00:00:29;00:00:12;00:00:02;8;01:15:50;27;21;29,7;75,84
